streptococcus_initial_strain_cfu_ml,lactobacillus_initial_strain_cfu_ml,ideal_temperature_c,minimum_milk_proteins,titratable_acidity,pH_milk_sour_,fat_milk_over_100mg_,quality_product,lactobacillus_final_cfu_ml,streptococcus_final_cfu_ml,quality_product_
4.6930000000000005,5.376,40.593,2.622,1.171,4.539,1.8156,Low fat yogurt,9.02,7.87,0
4.7860000000000005,5.447,41.373999999999995,2.496,1.011,4.521,1.2484,Low fat yogurt,9.14,8.03,0
5.3420000000000005,5.962999999999999,41.398999999999994,2.423,1.153,4.479,1.5839,Low fat yogurt,10.0,8.96,0
5.733,4.516,40.782,2.611,1.156,4.438,1.3653,Low fat yogurt,7.58,9.62,0
5.106,4.0969999999999995,40.159,2.485,1.133,4.57,1.2232,Low fat yogurt,6.87,8.57,0
5.147,4.0489999999999995,40.227,2.557,1.1079999999999999,4.401,3.2469,Low fat yogurt,6.79,8.64,0
4.27,5.417000000000001,41.508,2.428,1.083,4.417,2.5009,Low fat yogurt,9.09,7.16,0
4.923,4.041,40.650999999999996,2.522,1.151,4.489,1.8419,Low fat yogurt,6.78,8.26,0
5.726,4.918,41.251999999999995,2.616,0.9790000000000001,4.578,1.2631,Low fat yogurt,8.25,9.61,0
5.3870000000000005,5.452999999999999,41.071999999999996,2.5069999999999997,1.1,4.519,1.6658,Low fat yogurt,9.15,9.04,0
4.484,4.501,40.719,2.695,0.983,4.566,1.9907,Low fat yogurt,7.55,7.52,0
4.853,5.756,40.336,2.4730000000000003,0.993,4.518,1.1808,Low fat yogurt,9.66,8.14,0
4.805,4.275,40.58,2.648,1.022,4.515,1.0278,Non fat yogurt,7.17,8.06,1
5.144,4.7330000000000005,40.315,2.635,1.023,4.492,1.7614,Low fat yogurt,7.94,8.63,0
4.218,5.899,40.143,2.693,1.0170000000000001,4.4319999999999995,3.6413,Regular yogurt,9.9,7.08,2
5.565,5.626,40.73,2.47,1.1520000000000001,4.6,1.7626,Low fat yogurt,9.44,9.34,0
5.098,5.657,40.757,2.481,0.9590000000000001,4.463,3.5611,Regular yogurt,9.49,8.55,2
5.853,5.355,40.63,2.625,1.075,4.47,3.2506,Regular yogurt,8.98,9.82,2
4.546,5.0280000000000005,41.458,2.6289999999999996,0.951,4.486000000000001,3.7869,Regular yogurt,8.44,7.63,2
5.709,5.926,40.376,2.468,1.102,4.559,3.2889,Regular yogurt,9.94,9.58,2
4.663,4.245,41.977,2.425,1.008,4.408,1.4575,Low fat yogurt,7.12,7.82,0
4.901,5.932,41.093999999999994,2.595,1.038,4.5089999999999995,2.1534,Low fat yogurt,9.95,8.22,0
4.42,5.466,41.608000000000004,2.546,1.11,4.501,2.0439,Low fat yogurt,9.17,7.42,0
5.349,4.699,41.178999999999995,2.437,1.139,4.516,3.969,Regular yogurt,7.88,8.97,2
5.205,4.967,40.03,2.499,1.0190000000000001,4.433,3.6767,Regular yogurt,8.33,8.73,2
4.515,5.327000000000001,40.022,2.677,0.977,4.4,1.0175,Non fat yogurt,8.94,7.57,1
5.667999999999999,5.376,40.923,2.502,1.0759999999999998,4.539,3.1414,Low fat yogurt,9.02,9.51,0
4.346,4.12,41.238,2.483,1.011,4.473,3.4881,Regular yogurt,6.91,7.29,2
5.836,4.52,40.424,2.425,1.002,4.522,2.4288,Low fat yogurt,7.58,9.79,0
5.5920000000000005,5.109,41.103,2.6639999999999997,1.117,4.485,2.4991,Low fat yogurt,8.57,9.38,0
5.756,5.769,40.285,2.498,1.178,4.474,1.1388,Low fat yogurt,9.68,9.66,0
4.02,5.575,41.218999999999994,2.5989999999999998,1.074,4.593,3.4843,Regular yogurt,9.35,6.74,2
4.147,4.996,40.035,2.688,1.155,4.467,2.1415,Low fat yogurt,8.38,6.96,0
4.643,5.843,41.948,2.414,1.02,4.529,2.4606,Low fat yogurt,9.8,7.79,0
4.974,4.876,41.036,2.528,1.101,4.492,1.7643,Low fat yogurt,8.18,8.34,0
5.354,4.034,41.165,2.695,0.955,4.558,3.0848,Low fat yogurt,6.77,8.98,0
5.0969999999999995,5.1579999999999995,40.061,2.5069999999999997,1.001,4.466,1.8937,Low fat yogurt,8.65,8.55,0
4.0169999999999995,5.832999999999999,40.922,2.6189999999999998,1.097,4.445,3.5439999999999996,Regular yogurt,9.79,6.74,2
4.672,4.104,41.00899999999999,2.465,1.025,4.562,1.9642,Low fat yogurt,6.89,7.84,0
5.16,5.715,41.251999999999995,2.5580000000000003,1.1179999999999999,4.564,1.5235,Low fat yogurt,9.59,8.66,0
5.766,4.879,41.832,2.412,1.035,4.558,1.5313,Low fat yogurt,8.19,9.67,0
5.341,5.819,40.649,2.456,0.965,4.552,2.639,Low fat yogurt,9.76,8.96,0
4.447,5.496,40.115,2.696,1.176,4.426,3.5885,Regular yogurt,9.22,7.46,2
5.829,5.75,40.992,2.572,1.15,4.5169999999999995,2.7542,Low fat yogurt,9.65,9.78,0
5.172000000000001,5.394,40.924,2.491,1.149,4.48,3.4732,Regular yogurt,9.05,8.68,2
5.154,4.169,41.964,2.4859999999999998,1.023,4.479,3.2289,Low fat yogurt,6.99,8.65,0
4.501,5.997999999999999,41.995,2.5669999999999997,1.004,4.455,1.0641,Non fat yogurt,10.06,7.55,1
4.747,5.507000000000001,40.946999999999996,2.51,1.0859999999999999,4.445,3.1668,Low fat yogurt,9.24,7.96,0
5.142,4.909,40.359,2.513,1.0,4.402,2.9302,Low fat yogurt,8.24,8.63,0
5.688,5.513,40.243,2.4130000000000003,1.068,4.4510000000000005,1.1046,Low fat yogurt,9.25,9.54,0
5.627999999999999,5.325,41.427,2.426,1.128,4.454,1.3019999999999998,Low fat yogurt,8.93,9.44,0
5.322,4.592,40.893,2.5780000000000003,1.172,4.446000000000001,3.6549,Regular yogurt,7.7,8.93,2
4.137,5.149,40.662,2.431,1.153,4.524,2.8817,Low fat yogurt,8.64,6.94,0
5.504,5.071000000000001,40.496,2.545,1.023,4.426,1.0198,Non fat yogurt,8.51,9.23,1
4.808,5.789,41.06,2.6510000000000002,1.104,4.497,2.6189999999999998,Low fat yogurt,9.71,8.07,0
5.209,5.132000000000001,41.035,2.412,1.013,4.553,1.7262,Low fat yogurt,8.61,8.74,0
4.176,5.519,40.334,2.415,0.9840000000000001,4.548,2.4549,Low fat yogurt,9.26,7.01,0
4.4239999999999995,5.586,41.725,2.497,1.1640000000000001,4.446000000000001,2.5963,Low fat yogurt,9.37,7.42,0
5.629,5.905,41.963,2.6319999999999997,1.013,4.5569999999999995,2.5357,Low fat yogurt,9.91,9.44,0
4.9510000000000005,5.871,41.843,2.42,0.973,4.477,1.6861,Low fat yogurt,9.85,8.31,0
5.319,4.172,41.339,2.515,0.973,4.5889999999999995,2.3609999999999998,Low fat yogurt,7.0,8.92,0
4.262,5.282,40.012,2.5340000000000003,1.114,4.506,2.8344,Low fat yogurt,8.86,7.15,0
5.782,5.043,41.388999999999996,2.6519999999999997,0.992,4.4510000000000005,3.0396,Low fat yogurt,8.46,9.7,0
4.086,4.9030000000000005,41.833999999999996,2.516,1.0170000000000001,4.551,1.1906,Low fat yogurt,8.23,6.86,0
5.859,5.847,41.443999999999996,2.68,1.125,4.583,3.7756,Regular yogurt,9.81,9.83,2
4.064,4.047,41.184,2.673,0.9640000000000001,4.5360000000000005,2.5305,Low fat yogurt,6.79,6.82,0
5.996,5.297000000000001,41.416000000000004,2.515,0.9740000000000001,4.4639999999999995,1.1919,Low fat yogurt,8.89,10.06,0
4.923,5.392,41.913000000000004,2.67,0.96,4.446000000000001,1.3987,Low fat yogurt,9.05,8.26,0
4.772,4.454,41.428999999999995,2.512,0.9890000000000001,4.562,3.0894,Low fat yogurt,7.47,8.01,0
4.599,5.561,41.192,2.61,0.971,4.571000000000001,2.1732,Low fat yogurt,9.33,7.72,0
4.9110000000000005,5.763999999999999,41.083,2.6910000000000003,0.951,4.434,1.6429,Low fat yogurt,9.67,8.24,0
4.039,4.915,40.577,2.476,0.995,4.511,3.8391,Regular yogurt,8.25,6.78,2
5.319,4.112,40.783,2.432,1.186,4.404,3.3226,Regular yogurt,6.9,8.92,2
4.833,4.107,41.67,2.661,1.1,4.497,1.2424,Low fat yogurt,6.89,8.11,0
4.695,4.519,40.001,2.571,1.011,4.487,1.9058,Low fat yogurt,7.58,7.88,0
4.27,5.26,40.292,2.452,1.071,4.585,1.6909,Low fat yogurt,8.82,7.16,0
5.497000000000001,4.406000000000001,40.584,2.541,1.0190000000000001,4.542,1.2738,Low fat yogurt,7.39,9.22,0
4.032,4.447,41.556999999999995,2.435,0.981,4.599,2.3155,Low fat yogurt,7.46,6.76,0
5.7989999999999995,5.225,41.364,2.596,1.0590000000000002,4.49,1.8325,Low fat yogurt,8.77,9.73,0
4.9430000000000005,5.805,41.23,2.47,1.19,4.578,3.0525,Low fat yogurt,9.74,8.29,0
4.899,4.727,41.876000000000005,2.404,1.115,4.447,3.0883,Low fat yogurt,7.93,8.22,0
4.192,5.102,41.457,2.553,1.123,4.571000000000001,1.3454,Low fat yogurt,8.56,7.03,0
5.564,4.9030000000000005,41.733999999999995,2.6289999999999996,0.9790000000000001,4.541,1.733,Low fat yogurt,8.23,9.33,0
4.075,4.187,41.523,2.421,1.168,4.6,3.1812,Low fat yogurt,7.02,6.84,0
4.563,4.9030000000000005,41.336999999999996,2.404,1.05,4.56,3.2257,Low fat yogurt,8.23,7.66,0
5.98,5.474,40.986999999999995,2.568,0.961,4.4319999999999995,1.5557,Low fat yogurt,9.18,10.03,0
4.605,5.945,40.294000000000004,2.5989999999999998,1.124,4.476,1.7380000000000002,Low fat yogurt,9.97,7.73,0
4.961,4.0280000000000005,40.204,2.555,1.189,4.419,2.0058,Low fat yogurt,6.76,8.32,0
5.306,4.428999999999999,41.172,2.546,1.089,4.445,2.0915,Low fat yogurt,7.43,8.9,0
5.9510000000000005,5.617000000000001,41.251999999999995,2.4859999999999998,1.139,4.531000000000001,2.655,Low fat yogurt,9.42,9.98,0
4.909,4.269,40.771,2.58,1.123,4.493,1.219,Low fat yogurt,7.16,8.24,0
5.934,5.2170000000000005,41.105,2.6510000000000002,1.0490000000000002,4.409,2.5366,Low fat yogurt,8.75,9.96,0
4.873,4.136,41.542,2.479,1.1740000000000002,4.569,3.2226,Low fat yogurt,6.94,8.18,0
5.9879999999999995,5.218999999999999,41.128,2.66,1.024,4.473,2.3302,Low fat yogurt,8.76,10.05,0
5.666,5.327000000000001,41.333999999999996,2.472,0.961,4.596,3.0956,Low fat yogurt,8.94,9.51,0
5.56,5.242000000000001,41.108000000000004,2.612,1.172,4.55,2.8911,Low fat yogurt,8.79,9.33,0
4.829,4.65,41.481,2.551,0.995,4.599,3.0812,Low fat yogurt,7.8,8.1,0
5.277,4.209,40.859,2.4330000000000003,0.9890000000000001,4.596,1.2072,Low fat yogurt,7.06,8.85,0
5.374,5.078,40.792,2.5839999999999996,0.9740000000000001,4.592,3.4088,Regular yogurt,8.52,9.02,2
4.821000000000001,5.257999999999999,40.243,2.591,1.033,4.592,1.2559,Low fat yogurt,8.82,8.09,0
5.997999999999999,4.8469999999999995,40.978,2.434,1.097,4.477,1.7356,Low fat yogurt,8.13,10.06,0
4.348,4.368,40.881,2.485,1.002,4.433,2.1906,Low fat yogurt,7.33,7.29,0
5.002,4.53,41.17100000000001,2.674,0.98,4.4830000000000005,2.4574,Low fat yogurt,7.6,8.39,0
5.056,5.377000000000001,40.628,2.458,1.001,4.571000000000001,1.1442,Low fat yogurt,9.02,8.48,0
5.882999999999999,5.336,40.008,2.508,0.963,4.474,2.7848,Low fat yogurt,8.95,9.87,0
4.62,5.914,41.448,2.612,1.123,4.567,3.1275,Low fat yogurt,9.92,7.75,0
5.71,5.775,40.676,2.661,1.111,4.421,1.08,Non fat yogurt,9.69,9.58,1
4.957,5.955,40.467,2.5789999999999997,1.092,4.422,2.2006,Low fat yogurt,9.99,8.32,0
5.888,5.25,40.507,2.423,1.15,4.428999999999999,1.7387,Low fat yogurt,8.81,9.88,0
5.99,4.914,40.423,2.451,1.138,4.555,2.4682,Low fat yogurt,8.24,10.05,0
5.069,4.655,41.353,2.627,1.068,4.417,2.4993,Low fat yogurt,7.81,8.5,0
5.441,5.626,40.168,2.4419999999999997,1.045,4.521,1.8926,Low fat yogurt,9.44,9.13,0
5.898,4.32,40.086,2.69,1.113,4.5089999999999995,2.5936,Low fat yogurt,7.25,9.9,0
5.18,5.1160000000000005,40.152,2.501,1.168,4.566,1.9503,Low fat yogurt,8.58,8.69,0
4.9510000000000005,4.4639999999999995,40.959,2.4819999999999998,0.972,4.5280000000000005,2.9749,Low fat yogurt,7.49,8.31,0
4.196000000000001,4.58,41.55,2.478,1.091,4.534,1.4756,Low fat yogurt,7.68,7.04,0
4.309,5.148,40.774,2.421,1.179,4.587,1.1404,Low fat yogurt,8.64,7.23,0
5.915,4.376,40.4,2.62,1.136,4.481,1.4372,Low fat yogurt,7.34,9.92,0
5.125,5.058,40.465,2.4330000000000003,1.046,4.586,3.1501,Low fat yogurt,8.49,8.6,0
5.8389999999999995,4.976,41.047,2.656,1.125,4.492,1.1736,Low fat yogurt,8.35,9.8,0
5.502999999999999,5.0969999999999995,41.381,2.4930000000000003,1.097,4.553999999999999,1.5375,Low fat yogurt,8.55,9.23,0
4.086,5.499,41.672,2.679,0.991,4.406000000000001,3.9184,Regular yogurt,9.23,6.86,2
4.434,5.364,40.435,2.5839999999999996,1.167,4.4319999999999995,3.463,Regular yogurt,9.0,7.44,2
5.861000000000001,5.282,40.979,2.55,1.047,4.431,2.0794,Low fat yogurt,8.86,9.83,0
5.367000000000001,5.3839999999999995,41.747,2.537,0.971,4.416,2.7061,Low fat yogurt,9.03,9.0,0
5.941,5.606,40.658,2.563,1.109,4.563,3.1916,Low fat yogurt,9.41,9.97,0
4.784,5.367999999999999,41.435,2.582,1.081,4.592,1.2019,Low fat yogurt,9.01,8.03,0
4.606,4.3260000000000005,41.715,2.641,1.043,4.5489999999999995,3.0125,Low fat yogurt,7.26,7.73,0
4.402,5.997999999999999,41.486000000000004,2.53,1.153,4.541,1.8527,Low fat yogurt,10.06,7.39,0
5.178,5.794,40.7,2.475,1.0390000000000001,4.5169999999999995,3.6975,Regular yogurt,9.72,8.69,2
4.131,5.916,40.375,2.6189999999999998,1.179,4.5280000000000005,3.977,Regular yogurt,9.93,6.93,2
5.894,4.563,40.875,2.593,1.167,4.497,3.3574,Regular yogurt,7.66,9.89,2
5.069,4.0089999999999995,41.028999999999996,2.661,0.9670000000000001,4.434,1.9553,Low fat yogurt,6.73,8.5,0
5.902,5.45,41.378,2.415,0.9990000000000001,4.546,3.7139,Regular yogurt,9.14,9.9,2
5.534,4.7989999999999995,41.348,2.489,1.181,4.465,3.8214,Regular yogurt,8.05,9.28,2
4.825,4.39,41.028999999999996,2.448,1.1840000000000002,4.492,3.3657,Regular yogurt,7.37,8.1,2
5.4110000000000005,5.704,41.644,2.6430000000000002,1.023,4.41,2.29,Low fat yogurt,9.57,9.08,0
4.902,4.19,41.606,2.5580000000000003,1.012,4.507,1.7767,Low fat yogurt,7.03,8.22,0
5.004,4.803999999999999,40.514,2.6439999999999997,0.951,4.478,1.213,Low fat yogurt,8.06,8.4,0
4.013,5.542000000000001,40.373000000000005,2.628,0.953,4.513999999999999,1.7699,Low fat yogurt,9.3,6.73,0
4.716,4.963,40.025999999999996,2.487,1.128,4.495,1.44,Low fat yogurt,8.33,7.91,0
5.947,4.255,40.435,2.529,1.069,4.4830000000000005,3.5144,Regular yogurt,7.14,9.98,2
5.166,4.372,40.873000000000005,2.58,1.0170000000000001,4.4030000000000005,3.3298,Regular yogurt,7.33,8.67,2
5.197,4.215,40.545,2.502,1.117,4.462,1.1368,Low fat yogurt,7.07,8.72,0
4.055,5.164,41.403,2.407,1.114,4.55,1.2199,Low fat yogurt,8.66,6.8,0
4.683,5.6979999999999995,41.681999999999995,2.67,1.001,4.577,3.8438,Regular yogurt,9.56,7.86,2
5.6,5.845,41.431000000000004,2.677,0.995,4.402,1.3052,Low fat yogurt,9.81,9.4,0
5.0569999999999995,4.085,40.325,2.647,1.109,4.572,1.1191,Low fat yogurt,6.85,8.48,0
4.776,4.603,41.409,2.634,0.985,4.593,1.6322,Low fat yogurt,7.72,8.01,0
4.102,4.281000000000001,40.054,2.412,0.986,4.404,1.0452,Non fat yogurt,7.18,6.88,1
4.1339999999999995,5.675,40.777,2.4730000000000003,1.031,4.5969999999999995,1.4874,Low fat yogurt,9.52,6.94,0
5.343999999999999,5.9110000000000005,41.258,2.444,1.0270000000000001,4.566,1.7048,Low fat yogurt,9.92,8.97,0
4.93,4.365,41.163999999999994,2.559,0.971,4.5680000000000005,1.6188,Low fat yogurt,7.32,8.27,0
5.023,4.5969999999999995,41.294,2.4019999999999997,1.028,4.521,2.674,Low fat yogurt,7.71,8.43,0
4.0969999999999995,4.3469999999999995,40.108000000000004,2.613,1.077,4.428,3.7254,Regular yogurt,7.29,6.87,2
4.8180000000000005,4.168,40.226,2.424,1.183,4.561,1.2282,Low fat yogurt,6.99,8.08,0
5.1080000000000005,5.577000000000001,40.641,2.411,1.183,4.419,1.8739,Low fat yogurt,9.36,8.57,0
4.117,5.807,41.165,2.611,1.131,4.455,2.3201,Low fat yogurt,9.74,6.91,0
5.797999999999999,4.468,40.317,2.67,1.008,4.499,1.8708,Low fat yogurt,7.5,9.73,0
5.926,4.777,41.016000000000005,2.435,1.089,4.526,2.6384,Low fat yogurt,8.01,9.94,0
4.45,5.854,41.975,2.6010000000000004,1.0090000000000001,4.462,3.2437,Low fat yogurt,9.82,7.47,0
4.547,4.485,41.335,2.6319999999999997,1.099,4.428999999999999,3.5271,Regular yogurt,7.52,7.63,2
4.918,5.377000000000001,41.013999999999996,2.612,1.161,4.5360000000000005,3.7416,Regular yogurt,9.02,8.25,2
5.702999999999999,4.109,40.83,2.427,1.0270000000000001,4.439,3.3548,Regular yogurt,6.89,9.57,2
4.6530000000000005,4.831,40.199,2.657,1.043,4.571000000000001,3.3712,Regular yogurt,8.11,7.81,2
5.004,5.837000000000001,40.763000000000005,2.6639999999999997,1.149,4.447,2.3473,Low fat yogurt,9.79,8.4,0
5.862,4.962,40.458,2.539,1.097,4.534,2.3961,Low fat yogurt,8.32,9.83,0
5.598,5.912999999999999,40.641999999999996,2.576,1.129,4.412,1.2739,Low fat yogurt,9.92,9.39,0
5.312,4.583,40.39,2.526,0.998,4.541,2.4628,Low fat yogurt,7.69,8.91,0
4.1,5.702999999999999,40.852,2.5580000000000003,0.9620000000000001,4.595,3.1699,Low fat yogurt,9.57,6.88,0
4.873,5.653,40.894,2.496,1.053,4.41,1.9280000000000002,Low fat yogurt,9.48,8.18,0
5.119,5.827999999999999,41.945,2.617,1.065,4.541,3.7493,Regular yogurt,9.78,8.59,2
4.919,5.564,40.434,2.423,1.1740000000000002,4.506,1.6869,Low fat yogurt,9.33,8.25,0
5.275,5.593999999999999,41.176,2.693,1.119,4.598,3.7301,Regular yogurt,9.39,8.85,2
5.257999999999999,5.519,41.218999999999994,2.483,1.048,4.474,1.1693,Low fat yogurt,9.26,8.82,0
5.586,4.588,40.393,2.609,1.1179999999999999,4.444,2.2044,Low fat yogurt,7.7,9.37,0
5.965,5.818,41.026,2.42,1.126,4.501,2.6961,Low fat yogurt,9.76,10.01,0
5.335,5.216,40.196,2.65,1.038,4.587,1.5945,Low fat yogurt,8.75,8.95,0
5.078,5.301,40.479,2.501,1.061,4.513,2.5355,Low fat yogurt,8.89,8.52,0
5.622999999999999,4.6160000000000005,41.945,2.6,1.068,4.42,2.7431,Low fat yogurt,7.74,9.43,0
4.473,4.391,41.643,2.694,1.015,4.537,1.9422,Low fat yogurt,7.37,7.5,0
5.619,4.39,41.919,2.415,1.043,4.4719999999999995,3.1887,Low fat yogurt,7.37,9.43,0
5.178,4.441,40.607,2.447,1.044,4.492,3.3106,Regular yogurt,7.45,8.69,2
5.204,4.856,40.941,2.682,1.0270000000000001,4.516,2.2431,Low fat yogurt,8.15,8.73,0
5.371,4.926,40.108000000000004,2.464,1.052,4.564,3.9846,Regular yogurt,8.26,9.01,2
4.92,5.682,40.672,2.408,1.083,4.596,3.4798,Regular yogurt,9.53,8.25,2
4.659,4.676,40.652,2.6210000000000004,1.02,4.505,3.737,Regular yogurt,7.85,7.82,2
5.875,4.433,40.497,2.519,1.1,4.423,3.1166,Low fat yogurt,7.44,9.86,0
4.287,4.713,41.256,2.673,1.16,4.412,2.2247,Low fat yogurt,7.91,7.19,0
5.473,4.268,41.968999999999994,2.648,1.005,4.5760000000000005,2.3963,Low fat yogurt,7.16,9.18,0
5.4270000000000005,5.776,41.233000000000004,2.403,1.1440000000000001,4.581,2.6481,Low fat yogurt,9.69,9.1,0
4.649,5.0,41.113,2.6630000000000003,1.05,4.452,2.0347,Low fat yogurt,8.39,7.8,0
5.652,5.337999999999999,41.681999999999995,2.6519999999999997,0.99,4.4319999999999995,2.6761,Low fat yogurt,8.96,9.48,0
5.297999999999999,4.502,41.39,2.628,1.148,4.4830000000000005,1.2294,Low fat yogurt,7.55,8.89,0
4.325,4.548,40.705,2.479,1.088,4.561,2.9478,Low fat yogurt,7.63,7.26,0
4.931,4.606,40.492,2.4,1.058,4.596,3.1086,Low fat yogurt,7.73,8.27,0
4.493,5.101,40.018,2.458,0.983,4.5889999999999995,1.4903,Low fat yogurt,8.56,7.54,0
5.062,4.289,41.792,2.511,0.99,4.487,3.6768,Regular yogurt,7.2,8.49,2
5.12,4.362,41.031000000000006,2.594,1.012,4.592,2.657,Low fat yogurt,7.32,8.59,0
4.061,5.5089999999999995,41.093,2.524,1.037,4.419,1.0049,Non fat yogurt,9.24,6.81,1
5.016,4.178999999999999,41.328,2.5540000000000003,1.157,4.565,3.4513,Regular yogurt,7.01,8.42,2
5.981,4.504,41.676,2.444,1.0759999999999998,4.425,2.8710000000000004,Low fat yogurt,7.56,10.03,0
4.418,4.766,41.665,2.576,1.006,4.523,3.8572,Regular yogurt,8.0,7.41,2
4.849,5.939,41.159,2.608,1.043,4.533,3.1005,Low fat yogurt,9.96,8.14,0
4.1160000000000005,5.849,41.151,2.426,0.9890000000000001,4.504,3.7071,Regular yogurt,9.81,6.91,2
5.025,4.513999999999999,40.499,2.656,1.1740000000000002,4.488,1.6501,Low fat yogurt,7.57,8.43,0
5.2829999999999995,5.102,41.33,2.562,0.982,4.553999999999999,3.4817,Regular yogurt,8.56,8.86,2
